Index,Smoothed_UTM_X,Smoothed_UTM_Y,Latitude,Longitude,Calculated_Yaw_Deg,Distance,Speed
0,658050.795,1159427.664,10.485258,76.444179,29.4,0.0,0.15
1,658051.686,1159428.165,10.4852625,76.44418717,29.4,1.02,0.15
2,658052.578,1159428.667,10.485267,76.44419533,29.4,2.05,0.15
3,658053.47,1159429.169,10.4852715,76.4442035,29.4,3.07,0.15
4,658054.361,1159429.671,10.485276,76.44421167,29.4,4.09,0.15
5,658055.253,1159430.173,10.4852805,76.44421983,29.4,5.12,0.15
6,658056.145,1159430.674,10.485285,76.444228,29.4,6.14,0.15
