Time_Sec,UTC,Latitude,Longitude,Smoothed_Latitude,Smoothed_Longitude,UTM_X,UTM_Y,UTM_Z,Smoothed_UTM_X,Smoothed_UTM_Y,Yaw_Deg,Target_WP_Index,Target_WP_X,Target_WP_Y,Target_Latitude,Target_Longitude,Command_V,Command_W,Left_RPM,Right_RPM,Actual_Left_RPM,Actual_Right_RPM,Left_DAC,Right_DAC,RTK_Fix_Status
0.029,062730.00,10.48525300,76.44418800,10.48525300,76.44418800,658051.959,1159426.790,107.90,658051.959,1159426.790,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.079,062730.20,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.949,1159426.785,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.126,062730.20,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.943,1159426.782,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.179,062730.40,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.939,1159426.780,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.001,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.225,062730.40,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.937,1159426.779,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.001,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.279,062730.40,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.936,1159426.778,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.001,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.325,062730.40,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.935,1159426.778,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.001,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.379,062730.40,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.935,1159426.778,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.001,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.433,062730.40,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.934,1159426.778,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.001,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.481,062730.60,10.48525300,76.44418800,10.48525300,76.44418800,658051.934,1159426.777,107.90,658051.934,1159426.778,115.7,1,658051.359,1159428.035,10.48526133,76.44418417,0.366,-0.002,0.0,0.0,0.0,0.0,0,0,RTK FIXED
